sample_name,total_reads,log_total_reads,estimated_biomass_per_pcrrxn,estimated_biomass_per_dnarxn,extraction_mass_g,estimated_cells_per_g,log_estimated_cells_per_g
13414.61.midgut,10186.0,4.008003671840159,1028.7981622639993,12345.577947167993,0.0241,512264.6451107051,5.709494383275962
13414.61.skin,9325.0,3.9696488404807253,755.2122958176883,9062.54754981226,0.004,2265636.887453065,6.3551903069343325
13414.62.gill,12961.0,4.112638510618493,2391.1374597659146,28693.649517190977,0.067,428263.4256297161,5.631710986548249
13414.62.hg,7981.0,3.9020573108084666,437.9906417989474,5255.8877015873695,0.041,128192.38296554559,5.107862220703003
13414.62.midgut,11440.0,4.058426024457005,1544.6627668443818,18535.953202132583,0.0678,273391.6401494481,5.436785230449532
13414.62.skin,10179.0,4.00770511436478,1026.3254044365067,12315.90485323808,0.059,208744.15005488272,5.319614313451529
13414.63.gill,36730.0,4.565020928345294,91657.85153324802,1099894.2183989761,0.234,4700402.642730667,6.6721350617710975
13414.63.hg,28572.0,4.4559406414525045,38048.19107412119,456578.2928894543,0.0513,8900161.65476519,6.949397894862319
13414.63.midgut,22609.0,4.3542813538497285,16767.780128587183,201213.3615430462,0.0235,8562270.703959413,6.9325889543295585
13414.63.skin,4679.0,3.67015304519218,67.55907663724577,810.7089196469492,0.075,10809.452261959323,4.033803687881578
13414.64.gill,58779.0,4.769222193200082,475309.4138798588,5703712.966558306,0.087,65559919.155842595,7.816638409355552
13414.64.midgut,17433.0,4.241372130158435,6748.957822734777,80987.49387281733,0.0415,1951505.8764534295,6.290369863384346
13414.65.gill,5818.0,3.7647737169110402,144.84498605196734,1738.139832623608,0.116,14983.964074341447,4.1756267231008986
13414.65.hg,3927.0,3.594060901270418,36.586686178027435,439.0402341363292,0.05999,7318.556995104671,3.8644254593587064
